City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
406,Phalaborwa,ZA,-23.94,31.14,80.6,74,71,6.93
407,Shenkursk,RU,62.11,42.9,2.84,92,0,6.87
408,Santa Maria,BR,-29.68,-53.81,66.06,95,83,4.16
409,Prince Rupert,CA,54.32,-130.32,41.0,84,75,4.7
410,Saint-Leu,RE,-21.15,55.28,84.99,62,0,26.4
411,Rengo,CL,-34.42,-70.87,64.4,63,0,8.05
412,Xining,CN,36.62,101.77,19.49,79,59,4.9
413,Yueyang,CN,29.33,113.09,39.36,85,100,25.48
414,Monrovia,LR,6.3,-10.8,75.2,94,20,6.6
415,Kenai,US,60.55,-151.26,28.4,92,20,3.36
416,Zacualtipan,MX,20.65,-98.6,44.87,96,29,2.8
417,Savannah Bight,HN,16.45,-85.85,77.38,70,77,7.47
418,Biak,ID,-0.91,122.88,82.96,73,100,1.23
419,Genc,TR,38.75,40.56,30.2,80,75,3.36
420,Rafsanjan,IR,30.41,55.99,46.54,45,0,2.42
421,Qurbus,TN,36.82,10.57,48.2,66,20,5.82
422,Black River,JM,18.03,-77.85,75.2,88,75,9.17
423,Tilichiki,RU,60.47,166.1,-0.63,93,86,10.63
424,Khash,IR,28.22,61.22,51.28,30,0,4.47
425,Vostok,RU,46.49,135.88,-19.35,90,100,3.67
426,Kachug,RU,53.96,105.88,-25.2,82,68,2.42
